file_path,file_name,domain_cn,domain_en,updated_at
E:\domain_details\papers\（1）Administration-of-lipid-nanoparticle-encapsulated-m_2025_International-Journ.pdf,（1）Administration-of-lipid-nanoparticle-encapsulated-m_2025_International-Journ.pdf,免疫学,免疫学,2026/2/16 0:01
E:\domain_details\papers\（3）A-GAPDH-serotonylation-system-couples-CD8--T-cell-glycolytic-_2024_Molecular.pdf,（3）A-GAPDH-serotonylation-system-couples-CD8--T-cell-glycolytic-_2024_Molecular.pdf,免疫学,免疫学,2026/2/16 0:02
E:\domain_details\papers\（11）Carbon-nanoparticles-Fe-II--complex-combined-with-soraf_2025_Colloids-and-Su.pdf,（11）Carbon-nanoparticles-Fe-II--complex-combined-with-soraf_2025_Colloids-and-Su.pdf,化学,化学,2026/2/16 0:01
E:\domain_details\papers\（17）Discovery-of-ARS-1620-analogs-as-KRas-G12C-inhibitors-with_2022_Bioorganic-C.pdf,（17）Discovery-of-ARS-1620-analogs-as-KRas-G12C-inhibitors-with_2022_Bioorganic-C.pdf,化学,化学,2026/2/16 0:01
E:\domain_details\papers\（23）Hyaluronanized-gold-nanoparticles-functionalized-with-CTX-_2025_Chemical-Eng.pdf,（23）Hyaluronanized-gold-nanoparticles-functionalized-with-CTX-_2025_Chemical-Eng.pdf,化学,化学,2026/2/16 0:01
E:\domain_details\papers\（2）Advanced-understanding-of-the-neurotoxicity-of-brominated_2025_Journal-of-Ha.pdf,（2）Advanced-understanding-of-the-neurotoxicity-of-brominated_2025_Journal-of-Ha.pdf,化学,化学,2026/2/16 0:01
E:\domain_details\papers\（38）Protein-tannic-acid-multilayer-films--A-multifunctio_2017_Journal-of-Colloid.pdf,（38）Protein-tannic-acid-multilayer-films--A-multifunctio_2017_Journal-of-Colloid.pdf,化学,化学,2026/2/16 0:02
E:\domain_details\papers\（44）Silica nanoparticles as carriers of antifouling ligands for PVDF ultrafiltration membranes.pdf,（44）Silica nanoparticles as carriers of antifouling ligands for PVDF ultrafiltration membranes.pdf,化学,化学,2026/2/16 0:02
E:\domain_details\papers\（45）Synthesis-and-pharmacological-evaluation-of-novel-resorcinol-b_2021_Biochemi.pdf,（45）Synthesis-and-pharmacological-evaluation-of-novel-resorcinol-b_2021_Biochemi.pdf,化学,化学,2026/2/16 0:02
E:\domain_details\papers\（14）Comparison of mesenchymal stem cells derived from gingival tissue and periodontal ligament in different incubation conditions.pdf,（14）Comparison of mesenchymal stem cells derived from gingival tissue and periodontal ligament in different incubation conditions.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（15）DDX24-inhibits-clear-cell-renal-cell-carcinoma-progression_2025_Cellular-Sig.pdf,（15）DDX24-inhibits-clear-cell-renal-cell-carcinoma-progression_2025_Cellular-Sig.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（16）Dimethyl-malonate-preserves-brain-and-neurobehavioral-phenotype-f_2025_Redox.pdf,（16）Dimethyl-malonate-preserves-brain-and-neurobehavioral-phenotype-f_2025_Redox.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（18）Evaluation of the activity levels of rat FVIII and human FVIII delivered by.pdf,（18）Evaluation of the activity levels of rat FVIII and human FVIII delivered by.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（24）Identification and characterization of a cross-neutralization epitope of Enterovirus 71.pdf,（24）Identification and characterization of a cross-neutralization epitope of Enterovirus 71.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（26）Iodine-131-radioembolization-boosts-the-immune-activation_2025_Journal-of-Co.pdf,（26）Iodine-131-radioembolization-boosts-the-immune-activation_2025_Journal-of-Co.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（28）Kynurenine-acts-as-a-signaling-molecule-to-attenuate-pu_2025_Journal-of-Adva.pdf,（28）Kynurenine-acts-as-a-signaling-molecule-to-attenuate-pu_2025_Journal-of-Adva.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（29）Lentiviral-vector-mediated-shRNAs-targeting-a-functional-iso_2017_Osteoarthr.pdf,（29）Lentiviral-vector-mediated-shRNAs-targeting-a-functional-iso_2017_Osteoarthr.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（30）LncRNA-mRNA-co-expression-analysis-reveals-aquaporin-9-pro_2024_Internationa.pdf,（30）LncRNA-mRNA-co-expression-analysis-reveals-aquaporin-9-pro_2024_Internationa.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（31）Microcarrier-based MDCK cell culture system for the production of influenza H5N1 vaccines.pdf,（31）Microcarrier-based MDCK cell culture system for the production of influenza H5N1 vaccines.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（34）PA0833-is-a-novel-virulence-factor-that-contribut_2026_International-Journal.pdf,（34）PA0833-is-a-novel-virulence-factor-that-contribut_2026_International-Journal.pdf,医学,医学,2026/2/16 0:02
E:\domain_details\papers\（35）Pharmacological-rescue-of-mutant-p53-triggers-spontaneous-_2025_Cell-Reports.pdf,（35）Pharmacological-rescue-of-mutant-p53-triggers-spontaneous-_2025_Cell-Reports.pdf,医学,医学,2026/2/16 0:02
E:\domain_details\papers\（39）Radioactive-polymeric-microspheres-as-a-novel-embol_2023_Journal-of-Drug-Del.pdf,（39）Radioactive-polymeric-microspheres-as-a-novel-embol_2023_Journal-of-Drug-Del.pdf,医学,医学,2026/2/16 0:02
E:\domain_details\papers\（42）Selection and characterization of vaccine strain for Enterovirus 71 vaccine development.pdf,（42）Selection and characterization of vaccine strain for Enterovirus 71 vaccine development.pdf,医学,医学,2026/2/16 0:02
E:\domain_details\papers\（43）Sequential-targeting-nanomedicine-protects-against-acute-kidney-i_2026_Bioma.pdf,（43）Sequential-targeting-nanomedicine-protects-against-acute-kidney-i_2026_Bioma.pdf,医学,医学,2026/2/16 0:02
E:\domain_details\papers\（47）Three-optimized-assays-for-the-evaluation-of-compounds-that-_2021_STAR-Proto.pdf,（47）Three-optimized-assays-for-the-evaluation-of-compounds-that-_2021_STAR-Proto.pdf,医学,医学,2026/2/16 0:02
E:\domain_details\papers\（4）Agrimoniin-ameliorates-intrapulmonary-angiogenesis-and-improves-_2025_Genes-.pdf,（4）Agrimoniin-ameliorates-intrapulmonary-angiogenesis-and-improves-_2025_Genes-.pdf,医学,医学,2026/2/16 0:02
E:\domain_details\papers\（5）Aloe-emodin-induced apoptosis in human gastric carcinoma cells.pdf,（5）Aloe-emodin-induced apoptosis in human gastric carcinoma cells.pdf,医学,医学,2026/2/16 0:02
E:\domain_details\papers\（6）Altered-miR-370-expression-in-hepatic-ischemia-reperfusion-injury-co_2017_Ge.pdf,（6）Altered-miR-370-expression-in-hepatic-ischemia-reperfusion-injury-co_2017_Ge.pdf,医学,医学,2026/2/16 0:02
E:\domain_details\papers\（8）Antiangiogenic-effect-of-pinobanksin-on-human-umbili_2021_Journal-of-Functio.pdf,（8）Antiangiogenic-effect-of-pinobanksin-on-human-umbili_2021_Journal-of-Functio.pdf,医学,医学,2026/2/16 0:02
E:\domain_details\papers\（9）Autophagy-promotes-directed-migration-of-HUVEC-in-respo_2022_Free-Radical-Bi.pdf,（9）Autophagy-promotes-directed-migration-of-HUVEC-in-respo_2022_Free-Radical-Bi.pdf,医学,医学,2026/2/16 0:02
E:\domain_details\papers\（20）HS6ST1-overexpressed-in-cancer-associated-fibroblast-an_2023_Digestive-and-L.pdf,（20）HS6ST1-overexpressed-in-cancer-associated-fibroblast-an_2023_Digestive-and-L.pdf,消化病学,消化病学,2026/2/16 0:01
E:\domain_details\papers\（33）Oocyte-quality-is-impaired-in-a-hyperandrogenic-PCOS-mouse_2023_Reproductive.pdf,（33）Oocyte-quality-is-impaired-in-a-hyperandrogenic-PCOS-mouse_2023_Reproductive.pdf,生殖医学,生殖医学,2026/2/16 0:02
E:\domain_details\papers\（13）Chromatin-Accessibility-Dynamics-during-iPSC-Reprogrammin_2017_Cell-Stem-Cel.pdf,（13）Chromatin-Accessibility-Dynamics-during-iPSC-Reprogrammin_2017_Cell-Stem-Cel.pdf,生物信息学,生物信息学,2026/2/16 0:01
E:\domain_details\papers\（40）Resolving Cell Fate Decisions during Somatic Cell Reprogramming by Single-Cell RNA-Seq.pdf,（40）Resolving Cell Fate Decisions during Somatic Cell Reprogramming by Single-Cell RNA-Seq.pdf,生物信息学,生物信息学,2026/2/16 0:02
E:\domain_details\papers\（25）Insight-into-the-anti-allergic-impacts-of-fucoidan-from-_2025_International-.pdf,（25）Insight-into-the-anti-allergic-impacts-of-fucoidan-from-_2025_International-.pdf,生物化学,生物化学,2026/2/16 0:01
E:\domain_details\papers\（21）Human-embryonic-stem-cell-derived-melanocy_2021_Biochemical-and-Biophysical-.pdf,（21）Human-embryonic-stem-cell-derived-melanocy_2021_Biochemical-and-Biophysical-.pdf,生物医学,生物医学,2026/2/16 0:01
E:\domain_details\papers\（22）Human-urine-derived-stem-cell-exosomes-delivered-via-injectab_2023_Materials.pdf,（22）Human-urine-derived-stem-cell-exosomes-delivered-via-injectab_2023_Materials.pdf,生物医学,生物医学,2026/2/16 0:01
E:\domain_details\papers\（27）Knockdown-of-TRIM32-inhibits-tumor-growth-and-increas_2021_Biochemical-and-B.pdf,（27）Knockdown-of-TRIM32-inhibits-tumor-growth-and-increas_2021_Biochemical-and-B.pdf,生物医学,生物医学,2026/2/16 0:01
E:\domain_details\papers\（32）MiR-652-3p-promotes-malignancy-and-metastasis-of_2023_Biochemical-and-Biophy.pdf,（32）MiR-652-3p-promotes-malignancy-and-metastasis-of_2023_Biochemical-and-Biophy.pdf,生物医学,生物医学,2026/2/16 0:02
E:\domain_details\papers\（36）Polystyrene-nanoplastics-induced-retinal-toxicity--Size---_2025_Journal-of-H.pdf,（36）Polystyrene-nanoplastics-induced-retinal-toxicity--Size---_2025_Journal-of-H.pdf,生物医学,生物医学,2026/2/16 0:02
E:\domain_details\papers\（41）Screening--expression-and-anti-tumor-functional-id_2024_Protein-Expression-a.pdf,（41）Screening--expression-and-anti-tumor-functional-id_2024_Protein-Expression-a.pdf,生物医学,生物医学,2026/2/16 0:02
E:\domain_details\papers\（7）Antiangiogenic-and-apoptotic-effects-of-benzyl-caffeate-on-hu_2022_Journal-o.pdf,（7）Antiangiogenic-and-apoptotic-effects-of-benzyl-caffeate-on-hu_2022_Journal-o.pdf,生物医学,生物医学,2026/2/16 0:02
E:\domain_details\papers\（46）The-culture-of-A549-cells-and-its-secreted-cytokine-IL-6-monitoring_2025_Tal.pdf,（46）The-culture-of-A549-cells-and-its-secreted-cytokine-IL-6-monitoring_2025_Tal.pdf,生物医学工程,生物医学工程,2026/2/16 0:02
E:\domain_details\papers\（12）CDK9 inhibitors reactivate p53 by downregulating iASPP.pdf,（12）CDK9 inhibitors reactivate p53 by downregulating iASPP.pdf,生物学,生物学,2026/2/16 0:01
E:\domain_details\papers\（19）Glioblastoma extracellular vesicles induce the tumour-promoting transformation of neural stem cells.pdf,（19）Glioblastoma extracellular vesicles induce the tumour-promoting transformation of neural stem cells.pdf,生物学,生物学,2026/2/16 0:01
E:\domain_details\papers\（37）Potentiation of natural killer (NK) cell activity by methanol extract of.pdf,（37）Potentiation of natural killer (NK) cell activity by methanol extract of.pdf,生物学,生物学,2026/2/16 0:02
